Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,154.0,1.0,154.0,154.0,0.1,93.25099999999999,0.0,0.0,0.00887155532836914,,,,,,,,,,,,,,,,,,,,,36.002243552890086,26.526941097923622,87.88233127306971,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,244.0,2.0,90.0,244.0,0.1,47.468999999999944,0.0,0.0,9.174748659133911,,,,,,,,,,,,,,,,,,,,,18.082709474467848,13.524422484067765,45.933376967856645,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,288.0,3.0,44.0,288.0,0.1,28.323999999999998,0.0,0.0,13.732781887054443,,,,,,,,,,,,,,,,,,,,,11.000125915583457,9.593454067727398,27.895758080116487,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,321.0,4.0,33.0,321.0,0.1,15.405999999999999,0.0,0.0,17.11433243751526,,,,,,,,,,,,,,,,,,,,,5.0314302829616775,5.359832561112297,15.270488507188134,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,347.0,5.0,26.0,347.0,0.1,10.246999999999996,0.0,0.0,19.82669997215271,,,,,,,,,,,,,,,,,,,,,2.9969647926277787,3.5518945910281725,10.189447621186433,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,373.0,6.0,26.0,373.0,0.1,11.384999999999996,0.0,0.0,22.589555740356445,,,,,,,,,,,,,,,,,,,,,3.717520101882332,3.924417428911796,11.310955076549082,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,514.0,7.0,141.0,514.0,0.1,57.57499999999993,0.0,0.0,36.81301689147949,,,,,,,,,,,,,,,,,,,,,20.892953181453212,14.902068537274161,54.73851589468861,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,600.0,8.0,86.0,600.0,0.1,39.40599999999996,0.0,0.0,45.53868770599365,,,,,,,,,,,,,,,,,,,,,16.07787058059224,11.02875708499463,38.099463958522165,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,627.0,9.0,27.0,627.0,0.1,12.144999999999996,0.0,0.0,48.538888692855835,,,,,,,,,,,,,,,,,,,,,3.8362928425873513,4.159889767262827,12.065539105922882,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,805.0,10.0,178.0,805.0,0.1,85.42699999999995,0.0,0.0,66.39952945709229,,,,,,,,,,,,,,,,,,,,,39.36707369912665,22.66848594402192,78.57673577637249,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
