Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,186.0,1.0,186.0,186.0,0.1,-194.42635963092246,0.0,0.0,0.00933218002319336,,,,,,,,,,,,,,,,,,,,,-107.85705761136563,50.23161450457088,-1.9430027096696674,-174.71420060221243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,251.0,2.0,65.0,251.0,0.1,-57.14122653491,0.0,0.0,6.894898891448975,,,,,,,,,,,,,,,,,,,,,-31.858431652468706,15.61181841781787,-1.2816497178162205,-55.180734766297356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,294.0,3.0,43.0,294.0,0.1,-17.052314178297372,0.0,0.0,11.506133794784546,,,,,,,,,,,,,,,,,,,,,-13.687718116022054,4.765859019648504,-1.1664413882995515,-19.506100830880115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,411.0,4.0,117.0,411.0,0.1,-97.65721442971193,0.0,0.0,23.299893140792847,,,,,,,,,,,,,,,,,,,,,-53.545894228954886,25.81011192415641,-1.5651881972113237,-91.57540403759539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,477.0,5.0,66.0,477.0,0.1,-42.83133407588866,0.0,0.0,30.01390838623047,,,,,,,,,,,,,,,,,,,,,-22.26779689019108,11.457173793453718,-1.2816368743989772,-41.44450705073046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,497.0,6.0,20.0,497.0,0.1,-5.018112422459536,0.0,0.0,32.28836965560913,,,,,,,,,,,,,,,,,,,,,-5.54504054571834,1.8463320368003555,-1.0615651431980075,-8.008257752226665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,627.0,7.0,130.0,627.0,0.1,-125.89716254132166,0.0,0.0,45.2917537689209,,,,,,,,,,,,,,,,,,,,,-72.13129836689943,34.47716470110412,-1.6402699668627492,-116.75348396807696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,710.0,8.0,83.0,710.0,0.1,-62.63216934970853,0.0,0.0,53.72762846946716,,,,,,,,,,,,,,,,,,,,,-32.56696401421165,16.653398795686176,-1.376815472456876,-60.04914958655251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,732.0,9.0,22.0,732.0,0.1,-7.146512863170137,0.0,0.0,56.10763716697693,,,,,,,,,,,,,,,,,,,,,-7.705747289687017,2.9007766041682475,-1.0699402035245444,-11.387689435197284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,771.0,10.0,39.0,771.0,0.1,-22.95810162060457,0.0,0.0,60.021055459976196,,,,,,,,,,,,,,,,,,,,,-14.694856371865743,5.928640566928787,-1.1274418980733047,-22.429839471204748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.0,0.0,0.0,930.0,11.0,159.0,930.0,0.1,-150.6941400646449,0.0,0.0,76.0292899608612,,,,,,,,,,,,,,,,,,,,,-83.72089738178846,40.62593178203332,-1.7894553800968842,-137.96041885628054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.0,0.0,0.0,1081.0,12.0,151.0,1081.0,0.1,-150.15894912431486,0.0,0.0,90.96808767318726,,,,,,,,,,,,,,,,,,,,,-87.68864610052377,39.4558387439422,-1.7508450582287467,-138.61991524766484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.0,0.0,0.0,1125.0,13.0,44.0,1125.0,0.1,-20.980841434077032,0.0,0.0,95.62873554229736,,,,,,,,,,,,,,,,,,,,,-15.353225415515594,5.497656443284666,-1.1713051814368787,-21.965419555190294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.0,0.0,0.0,1186.0,14.0,61.0,1186.0,0.1,-44.31421710270484,0.0,0.0,101.91848015785217,,,,,,,,,,,,,,,,,,,,,-23.990045935211032,12.839859906302031,-1.2579024454267604,-44.33767989593472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.0,0.0,0.0,1316.0,15.0,130.0,1316.0,0.1,-138.1330126335638,0.0,0.0,114.82874250411987,,,,,,,,,,,,,,,,,,,,,-76.4093402748872,38.56293453315825,-1.6290620869014134,-128.45658310746035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.0,0.0,0.0,1429.0,16.0,113.0,1429.0,0.1,-94.85522294788063,0.0,0.0,126.5687608718872,,,,,,,,,,,,,,,,,,,,,-50.40031674325042,25.693825432839837,-1.541406900716281,-90.69071239277764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.0,0.0,0.0,1468.0,17.0,39.0,1468.0,0.1,-25.182116615072143,0.0,0.0,130.83316040039062,,,,,,,,,,,,,,,,,,,,,-14.998427464919986,6.688340837473175,-1.141340811613084,-24.863006464622124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.0,0.0,0.0,1545.0,18.0,77.0,1545.0,0.1,-49.23742388981185,0.0,0.0,138.87812542915344,,,,,,,,,,,,,,,,,,,,,-26.628065005514483,11.837127323967565,-1.3391977916696243,-47.281578760329154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,0.0,0.0,1609.0,19.0,64.0,1609.0,0.1,-48.29420331610855,0.0,0.0,145.41339445114136,,,,,,,,,,,,,,,,,,,,,-29.034662208333245,12.62252639987845,-1.2626045219705917,-46.52899639857599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,0.0,1805.0,20.0,196.0,1805.0,0.1,-226.6556248082651,0.0,0.0,164.8652322292328,,,,,,,,,,,,,,,,,,,,,-131.2350092629954,59.94286453690388,-1.9974596528472142,-201.33603372413248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,0.0,113.0,1.0,113.0,1918.0,0.1,-84.38742254199116,0.0,0.0,462.9373893737793,,,,,,,,,,,,,,,,,,,,,-51.27695155198897,21.561846906908787,-1.5400144120102421,-78.75054936479667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,0.0,187.0,2.0,74.0,1992.0,0.1,-54.19001789208334,0.0,0.0,470.4394278526306,,,,,,,,,,,,,,,,,,,,,-31.30147044335347,16.70234426391429,-1.288131206643718,-54.65887833805627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,0.0,0.0,307.0,3.0,120.0,2112.0,0.1,-109.115100084676,0.0,0.0,482.53031730651855,,,,,,,,,,,,,,,,,,,,,-61.03153680072399,32.253652964359134,-1.5739901874507136,-103.70621674863479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.0,0.0,0.0,461.0,4.0,154.0,2266.0,0.1,-116.23686891083875,0.0,0.0,497.80276012420654,,,,,,,,,,,,,,,,,,,,,-64.7147963541038,29.63516659762325,-1.7625548084074256,-106.50912752447184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.0,0.0,0.0,485.0,5.0,24.0,2290.0,0.1,-8.946842982569958,0.0,0.0,500.5784785747528,,,,,,,,,,,,,,,,,,,,,-8.075502120388661,2.888551681430622,-1.084176181942959,-12.403724280377444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1.0,0.0,0.0,509.0,6.0,24.0,2314.0,0.1,-17.32034720697721,0.0,0.0,503.3179278373718,,,,,,,,,,,,,,,,,,,,,-11.043288157905629,5.050483927769636,-1.067281243171034,-17.089470142001336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1.0,0.0,0.0,554.0,7.0,45.0,2359.0,0.1,-30.46187945206206,0.0,0.0,508.09676218032837,,,,,,,,,,,,,,,,,,,,,-18.686863611546,8.402018056420808,-1.164737635164783,-30.81834684318686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1.0,0.0,0.0,584.0,8.0,30.0,2389.0,0.1,-15.613565067776753,0.0,0.0,511.434898853302,,,,,,,,,,,,,,,,,,,,,-12.094830472898503,5.421582086444774,-1.0802588285955035,-19.59346828973419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1.0,0.0,0.0,611.0,9.0,27.0,2416.0,0.1,-9.054789706483124,0.0,0.0,514.5534551143646,,,,,,,,,,,,,,,,,,,,,-8.365537465929888,3.06665932709737,-1.0961510304759676,-12.889038549443836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1.0,0.0,0.0,779.0,10.0,168.0,2584.0,0.1,-161.63680636479756,0.0,0.0,531.4868426322937,,,,,,,,,,,,,,,,,,,,,-90.09333261741412,42.60030970342792,-1.8399809481785296,-146.79456882815958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.0,0.0,0.0,815.0,11.0,36.0,2620.0,0.1,-24.61117538238255,0.0,0.0,535.2962918281555,,,,,,,,,,,,,,,,,,,,,-14.638772417826848,6.882883827822086,-1.1275889769522631,-25.26499172555102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.0,0.0,0.0,849.0,12.0,34.0,2654.0,0.1,-24.83281605326403,0.0,0.0,538.9856803417206,,,,,,,,,,,,,,,,,,,,,-15.470902774875402,7.099568419418603,-1.110504930643862,-25.044039509634114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1.0,0.0,0.0,940.0,13.0,91.0,2745.0,0.1,-59.22819300648088,0.0,0.0,548.7285778522491,,,,,,,,,,,,,,,,,,,,,-35.45899213602448,16.179302987379316,-1.4133048348553818,-57.20897920149168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1.0,0.0,0.0,1009.0,14.0,69.0,2814.0,0.1,-59.30776505349287,0.0,0.0,555.8803462982178,,,,,,,,,,,,,,,,,,,,,-31.95990639858321,15.704437058506851,-1.30413412683427,-57.21690811130513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1.0,0.0,0.0,1052.0,15.0,43.0,2857.0,0.1,-29.168376639603366,0.0,0.0,560.5389461517334,,,,,,,,,,,,,,,,,,,,,-15.002267145795019,7.816743127231985,-1.1623611490737975,-28.58041139471221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1.0,0.0,0.0,1112.0,16.0,60.0,2917.0,0.1,-28.786319494795606,0.0,0.0,566.5672793388367,,,,,,,,,,,,,,,,,,,,,-22.380895509829543,8.437405769812004,-1.2368687625185262,-32.44717135736982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1.0,0.0,0.0,1178.0,17.0,66.0,2983.0,0.1,-46.90040796615283,0.0,0.0,573.5865857601166,,,,,,,,,,,,,,,,,,,,,-23.48753454152618,12.615721308028126,-1.2810958689327598,-45.44106738010493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1.0,0.0,0.0,1203.0,18.0,25.0,3008.0,0.1,-7.814121352377665,0.0,0.0,576.3207559585571,,,,,,,,,,,,,,,,,,,,,-6.892004540010509,2.1533907451598875,-1.0793399403383526,-10.088004961903525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1.0,0.0,0.0,1370.0,19.0,167.0,3175.0,0.1,-159.76388336236542,0.0,0.0,593.4534268379211,,,,,,,,,,,,,,,,,,,,,-95.51959754894881,40.55068517434139,-1.8365315932652853,-146.55699733433138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
